Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
183,0.5,0.4227941176470589,0.7786885245901639,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
184,0.5,0.4232203751065644,0.7785326086956522,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
185,0.5,0.42359335038363166,0.7783783783783784,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
186,0.5,0.42391304347826086,0.7782258064516129,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
187,0.5,0.4243271221532091,0.7780748663101604,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
188,0.5,0.4246894409937888,0.7779255319148937,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
189,0.5,0.42500000000000004,0.7777777777777778,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
190,0.5,0.4254024144869215,0.7776315789473685,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
191,0.5,0.4257545271629779,0.7774869109947644,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
192,0.5,0.426056338028169,0.77734375,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
193,0.5,0.4264475743348983,0.7772020725388601,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
194,0.5,0.4267899061032864,0.7770618556701031,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
195,0.5,0.42708333333333337,0.7769230769230769,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
196,0.5,0.42746385083713845,0.7767857142857143,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
197,0.5,0.427796803652968,0.7766497461928934,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
198,0.5,0.42808219178082185,0.7765151515151515,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
199,0.5,0.4284524250277675,0.7763819095477387,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
200,0.5,0.4287763791188448,0.77625,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
201,0.5,0.42905405405405406,0.7761194029850746,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
202,0.5,0.4294144144144144,0.775990099009901,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
203,0.5,0.4297297297297298,0.7758620689655172,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
204,0.5,0.42999999999999994,0.7757352941176471,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
